xmin,ymin,xmax,ymax,score,label
547.1103515625,278.37921142578125,561.59814453125,293.7038269042969,0.6826992034912109,3
559.0892944335938,278.27978515625,575.4974975585938,293.1737365722656,0.5621528625488281,3
569.4989624023438,281.62261962890625,575.0942993164062,295.15936279296875,0.5482226014137268,1
558.76123046875,277.60162353515625,572.0005493164062,286.2245788574219,0.5474684238433838,3
557.6231079101562,278.36358642578125,575.196533203125,294.8376159667969,0.35189127922058105,8
547.7044677734375,277.6697082519531,566.8082275390625,294.1973876953125,0.3495510220527649,8
547.6917724609375,277.15924072265625,575.7698974609375,294.6183166503906,0.25167667865753174,3
549.3193969726562,287.41998291015625,562.9580688476562,295.0632629394531,0.2147522270679474,3
559.2430419921875,278.276123046875,568.1995239257812,294.50665283203125,0.13500697910785675,1
566.4359741210938,279.2305908203125,576.0651245117188,295.46044921875,0.10100424289703369,1
233.484130859375,198.203369140625,246.72634887695312,212.2449188232422,0.08734072744846344,3
560.6832885742188,276.3113708496094,571.1719360351562,283.4833068847656,0.08606134355068207,3
553.7313842773438,278.7328186035156,563.7536010742188,294.3258361816406,0.07651536166667938,1
563.0535888671875,283.2829895019531,575.5171508789062,294.69140625,0.07573873549699783,3
553.9881591796875,276.35662841796875,565.619384765625,283.8592529296875,0.052749503403902054,3
