xmin,ymin,xmax,ymax,score,label
555.99658203125,278.5049743652344,578.28369140625,294.0821228027344,0.6868778467178345,3
552.4512939453125,280.404052734375,568.31201171875,294.5289611816406,0.6251608729362488,3
552.2369384765625,277.6851501464844,577.7804565429688,295.1899719238281,0.29354265332221985,8
564.7838134765625,280.9996032714844,578.1492309570312,294.7557373046875,0.24912644922733307,3
561.0472412109375,277.6398010253906,575.6358642578125,287.5500183105469,0.12163442373275757,3
572.7464599609375,282.4863586425781,578.5933837890625,294.4852294921875,0.11602383852005005,1
553.3414916992188,287.63232421875,567.7918090820312,295.1724548339844,0.10482930392026901,3
560.1490478515625,276.9643859863281,570.9514770507812,283.955810546875,0.06860044598579407,3
552.5318603515625,280.2133483886719,567.1348266601562,294.2300720214844,0.056471019983291626,8
566.3134155273438,277.1806640625,576.5280151367188,284.9082336425781,0.050116684287786484,3
